"","vars","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"1","phenylalanine_11 unknown_30 unknown_31 Unknown_54 glutamate_111 Glutamine_115 Arginine_122",0.666666666666667,0.714285714285714,0.666666666666667,0.714285714285714,0.666666666666667,0.666666666666667,0.666666666666667,0.461538461538462,0.307692307692308,0.461538461538462,0.69047619047619
"2","phenylalanine_11 unknown_30 Unknown_54 unknown_88 glutamate_111 Glutamine_115 acetate_121 Alanine_128 unknown_130",0.416666666666667,0.714285714285714,0.555555555555556,0.588235294117647,0.555555555555556,0.416666666666667,0.476190476190476,0.461538461538462,0.192307692307692,0.346153846153846,0.56547619047619
"3","phenylalanine_11 unknown_30 Unknown_54 unknown_88 glutamate_111 Glutamine_115 acetate_121 Arginine_122 Alanine_128 unknown_130",0.666666666666667,0.714285714285714,0.666666666666667,0.714285714285714,0.666666666666667,0.666666666666667,0.666666666666667,0.461538461538462,0.307692307692308,0.461538461538462,0.69047619047619
"4","phenylalanine_11 unknown_30 Unknown_54 glutamate_111 Glutamine_115 acetate_121 Arginine_122 Alanine_128 unknown_130",0.666666666666667,0.714285714285714,0.666666666666667,0.714285714285714,0.666666666666667,0.666666666666667,0.666666666666667,0.461538461538462,0.307692307692308,0.461538461538462,0.69047619047619
"5","phenylalanine_11 unknown_30 Unknown_54 unknown_88 Glutamine_115 unknown_120 acetate_121 Alanine_128 unknown_130",0.583333333333333,0.642857142857143,0.583333333333333,0.642857142857143,0.583333333333333,0.583333333333333,0.583333333333333,0.461538461538462,0.269230769230769,0.461538461538462,0.613095238095238
"6","phenylalanine_11 unknown_30 Unknown_54 unknown_88 Glutamine_115 unknown_120 Arginine_122 Alanine_128 unknown_130",0.75,0.642857142857143,0.642857142857143,0.75,0.642857142857143,0.75,0.692307692307692,0.461538461538462,0.346153846153846,0.538461538461538,0.696428571428571
"7","phenylalanine_11 unknown_30 unknown_31 Unknown_54 Glutamine_115 Alanine_128 unknown_130",0.666666666666667,0.714285714285714,0.666666666666667,0.714285714285714,0.666666666666667,0.666666666666667,0.666666666666667,0.461538461538462,0.307692307692308,0.461538461538462,0.69047619047619
"8","phenylalanine_11 unknown_30 Unknown_54 unknown_88 unknown_102 glutamate_111 Glutamine_115 acetate_121 Arginine_122 Alanine_128 unknown_130",0.75,0.785714285714286,0.75,0.785714285714286,0.75,0.75,0.75,0.461538461538462,0.346153846153846,0.461538461538462,0.767857142857143
"9","phenylalanine_11 unknown_30 Unknown_54 glutamate_111 Glutamine_115 acetate_121 Arginine_122 Alanine_128",0.833333333333333,0.857142857142857,0.833333333333333,0.857142857142857,0.833333333333333,0.833333333333333,0.833333333333333,0.461538461538462,0.384615384615385,0.461538461538462,0.845238095238095
"10","phenylalanine_11 unknown_30 unknown_31 Unknown_54 unknown_88 glutamate_111 Glutamine_115 acetate_121 Arginine_122 Alanine_128 unknown_130",0.916666666666667,0.857142857142857,0.846153846153846,0.923076923076923,0.846153846153846,0.916666666666667,0.88,0.461538461538462,0.423076923076923,0.5,0.886904761904762
