"","vars","Class","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"Class: LNSP","phenylalanine_11 tyrosine_20 Unknown_27 unknown_29 unknown_30 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128 X2_hydroxyisovalerate_148","LNSP",0.916666666666667,0.538461538461538,0.647058823529412,0.875,0.647058823529412,0.916666666666667,0.758620689655172,0.48,0.44,0.68,0.727564102564103
"Class: Miscarriage","phenylalanine_11 Unknown_27 unknown_30 unknown_31 creatinine_38 Unknown_54 unknown_99 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","Miscarriage",0.333333333333333,0.894736842105263,0.5,0.80952380952381,0.5,0.333333333333333,0.4,0.24,0.08,0.16,0.614035087719298
"Class: tEP","phenylalanine_11 Unknown_27 unknown_30 unknown_31 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","tEP",0.25,1,1,0.875,1,0.25,0.4,0.16,0.04,0.04,0.625
"Class: PUL","phenylalanine_11 Unknown_27 unknown_30 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128 X2_hydroxyisovalerate_148","PUL",0,0.863636363636364,0,0.863636363636364,0,0,NA,0.12,0,0.12,0.431818181818182
"Class: LNSP1","phenylalanine_11 Unknown_27 unknown_29 unknown_30 unknown_31 unknown_32 creatinine_38 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","LNSP",0.916666666666667,0.692307692307692,0.733333333333333,0.9,0.733333333333333,0.916666666666667,0.814814814814815,0.48,0.44,0.6,0.80448717948718
"Class: Miscarriage1","phenylalanine_11 Unknown_27 unknown_29 unknown_30 unknown_31 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128 LDL_150","Miscarriage",0.333333333333333,0.842105263157895,0.4,0.8,0.4,0.333333333333333,0.363636363636364,0.24,0.08,0.2,0.587719298245614
"Class: tEP1","phenylalanine_11 Unknown_27 unknown_30 unknown_31 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","tEP",0.5,1,1,0.91304347826087,1,0.5,0.666666666666667,0.16,0.08,0.08,0.75
"Class: PUL1","phenylalanine_11 Unknown_27 unknown_30 unknown_31 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","PUL",0.666666666666667,0.954545454545455,0.666666666666667,0.954545454545454,0.666666666666667,0.666666666666667,0.666666666666667,0.12,0.08,0.12,0.810606060606061
"Class: LNSP2","phenylalanine_11 Unknown_27 unknown_30 creatinine_38 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","LNSP",0.75,0.538461538461538,0.6,0.7,0.6,0.75,0.666666666666667,0.48,0.36,0.6,0.644230769230769
"Class: Miscarriage2","phenylalanine_11 Unknown_27 unknown_30 unknown_31 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","Miscarriage",0.166666666666667,0.789473684210526,0.2,0.75,0.2,0.166666666666667,0.181818181818182,0.24,0.04,0.2,0.478070175438596
"Class: tEP2","phenylalanine_11 tyrosine_20 Unknown_27 unknown_29 unknown_30 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128 X2_hydroxyisovalerate_148","tEP",0.25,0.904761904761905,0.333333333333333,0.863636363636364,0.333333333333333,0.25,0.285714285714286,0.16,0.04,0.12,0.577380952380952
"Class: PUL2","phenylalanine_11 Unknown_27 unknown_30 unknown_31 creatinine_38 Unknown_54 unknown_99 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","PUL",0.333333333333333,0.954545454545455,0.5,0.91304347826087,0.5,0.333333333333333,0.4,0.12,0.04,0.08,0.643939393939394
"Class: LNSP3","phenylalanine_11 Unknown_27 unknown_30 unknown_31 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","LNSP",0.916666666666667,0.461538461538462,0.611111111111111,0.857142857142857,0.611111111111111,0.916666666666667,0.733333333333333,0.48,0.44,0.72,0.689102564102564
"Class: Miscarriage3","phenylalanine_11 Unknown_27 unknown_30 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128 X2_hydroxyisovalerate_148","Miscarriage",0.333333333333333,0.894736842105263,0.5,0.80952380952381,0.5,0.333333333333333,0.4,0.24,0.08,0.16,0.614035087719298
"Class: tEP3","phenylalanine_11 Unknown_27 unknown_29 unknown_30 unknown_31 unknown_32 creatinine_38 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","tEP",0,0.904761904761905,0,0.826086956521739,0,0,NA,0.16,0,0.08,0.452380952380952
"Class: PUL3","phenylalanine_11 Unknown_27 unknown_29 unknown_30 unknown_31 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128 LDL_150","PUL",0,0.954545454545455,0,0.875,0,0,NA,0.12,0,0.04,0.477272727272727
"Class: LNSP4","phenylalanine_11 Unknown_27 unknown_30 unknown_31 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","LNSP",0.75,0.461538461538462,0.5625,0.666666666666667,0.5625,0.75,0.642857142857143,0.48,0.36,0.64,0.605769230769231
"Class: Miscarriage4","phenylalanine_11 Unknown_27 unknown_30 unknown_31 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","Miscarriage",0.5,0.789473684210526,0.428571428571428,0.833333333333333,0.428571428571429,0.5,0.461538461538462,0.24,0.12,0.28,0.644736842105263
"Class: tEP4","phenylalanine_11 Unknown_27 unknown_30 creatinine_38 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","tEP",0,0.952380952380952,0,0.833333333333333,0,0,NA,0.16,0,0.04,0.476190476190476
"Class: PUL4","phenylalanine_11 Unknown_27 unknown_30 unknown_31 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","PUL",0.333333333333333,1,1,0.916666666666667,1,0.333333333333333,0.5,0.12,0.04,0.04,0.666666666666667
"Class: LNSP5","phenylalanine_11 tyrosine_20 Unknown_27 unknown_29 unknown_30 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128 X2_hydroxyisovalerate_148","LNSP",1,0.538461538461538,0.666666666666667,1,0.666666666666667,1,0.8,0.48,0.48,0.72,0.769230769230769
"Class: Miscarriage5","phenylalanine_11 Unknown_27 unknown_30 unknown_31 creatinine_38 Unknown_54 unknown_99 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","Miscarriage",0,0.894736842105263,0,0.739130434782609,0,0,NA,0.24,0,0.08,0.447368421052632
"Class: tEP5","phenylalanine_11 Unknown_27 unknown_30 unknown_31 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","tEP",0,0.952380952380952,0,0.833333333333333,0,0,NA,0.16,0,0.04,0.476190476190476
"Class: PUL5","phenylalanine_11 Unknown_27 unknown_30 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128 X2_hydroxyisovalerate_148","PUL",0.666666666666667,0.909090909090909,0.5,0.952380952380952,0.5,0.666666666666667,0.571428571428572,0.12,0.08,0.16,0.787878787878788
"Class: LNSP6","phenylalanine_11 Unknown_27 unknown_29 unknown_30 unknown_31 unknown_32 creatinine_38 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","LNSP",0.916666666666667,0.307692307692308,0.55,0.8,0.55,0.916666666666667,0.6875,0.48,0.44,0.8,0.612179487179487
"Class: Miscarriage6","phenylalanine_11 Unknown_27 unknown_29 unknown_30 unknown_31 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128 LDL_150","Miscarriage",0,0.789473684210526,0,0.714285714285714,0,0,NA,0.24,0,0.16,0.394736842105263
"Class: tEP6","phenylalanine_11 Unknown_27 unknown_30 unknown_31 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","tEP",0.25,1,1,0.875,1,0.25,0.4,0.16,0.04,0.04,0.625
"Class: PUL6","phenylalanine_11 Unknown_27 unknown_30 unknown_31 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","PUL",0,1,NA,0.88,NA,0,NA,0.12,0,0,0.5
"Class: LNSP7","phenylalanine_11 Unknown_27 unknown_30 creatinine_38 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","LNSP",0.916666666666667,0.538461538461538,0.647058823529412,0.875,0.647058823529412,0.916666666666667,0.758620689655172,0.48,0.44,0.68,0.727564102564103
"Class: Miscarriage7","phenylalanine_11 Unknown_27 unknown_30 unknown_31 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128","Miscarriage",0.166666666666667,0.789473684210526,0.2,0.75,0.2,0.166666666666667,0.181818181818182,0.24,0.04,0.2,0.478070175438596
"Class: tEP7","phenylalanine_11 tyrosine_20 Unknown_27 unknown_29 unknown_30 Unknown_54 proline_107 Glutamine_115 acetate_121 Arginine_122 Alanine_128 X2_hydroxyisovalerate_148","tEP",0.25,0.952380952380952,0.5,0.869565217391304,0.5,0.25,0.333333333333333,0.16,0.04,0.08,0.601190476190476
