"","vars","Class","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"Class: LNSP","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","LNSP",0.833333333333333,0.461538461538462,0.588235294117647,0.75,0.588235294117647,0.833333333333333,0.689655172413793,0.48,0.4,0.68,0.647435897435897
"Class: Miscarriage","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","Miscarriage",0.333333333333333,0.894736842105263,0.5,0.80952380952381,0.5,0.333333333333333,0.4,0.24,0.08,0.16,0.614035087719298
"Class: tEP","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","tEP",0.25,0.952380952380952,0.5,0.869565217391304,0.5,0.25,0.333333333333333,0.16,0.04,0.08,0.601190476190476
"Class: PUL","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","PUL",0,0.909090909090909,0,0.869565217391304,0,0,NA,0.12,0,0.08,0.454545454545455
"Class: LNSP1","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","LNSP",0.916666666666667,0.692307692307692,0.733333333333333,0.9,0.733333333333333,0.916666666666667,0.814814814814815,0.48,0.44,0.6,0.80448717948718
"Class: Miscarriage1","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","Miscarriage",0.5,0.842105263157895,0.5,0.842105263157895,0.5,0.5,0.5,0.24,0.12,0.24,0.671052631578947
"Class: tEP1","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","tEP",0.5,1,1,0.91304347826087,1,0.5,0.666666666666667,0.16,0.08,0.08,0.75
"Class: PUL1","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","PUL",0.666666666666667,1,1,0.956521739130435,1,0.666666666666667,0.8,0.12,0.08,0.08,0.833333333333333
"Class: LNSP2","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","LNSP",0.833333333333333,0.538461538461538,0.625,0.777777777777778,0.625,0.833333333333333,0.714285714285714,0.48,0.4,0.64,0.685897435897436
"Class: Miscarriage2","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","Miscarriage",0.166666666666667,0.842105263157895,0.25,0.761904761904762,0.25,0.166666666666667,0.2,0.24,0.04,0.16,0.504385964912281
"Class: tEP2","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","tEP",0.25,0.904761904761905,0.333333333333333,0.863636363636364,0.333333333333333,0.25,0.285714285714286,0.16,0.04,0.12,0.577380952380952
"Class: PUL2","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","PUL",0.333333333333333,0.954545454545455,0.5,0.91304347826087,0.5,0.333333333333333,0.4,0.12,0.04,0.08,0.643939393939394
"Class: LNSP3","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","LNSP",0.916666666666667,0.538461538461538,0.647058823529412,0.875,0.647058823529412,0.916666666666667,0.758620689655172,0.48,0.44,0.68,0.727564102564103
"Class: Miscarriage3","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","Miscarriage",0.5,0.842105263157895,0.5,0.842105263157895,0.5,0.5,0.5,0.24,0.12,0.24,0.671052631578947
"Class: tEP3","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","tEP",0,0.952380952380952,0,0.833333333333333,0,0,NA,0.16,0,0.04,0.476190476190476
"Class: PUL3","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","PUL",0,0.954545454545455,0,0.875,0,0,NA,0.12,0,0.04,0.477272727272727
"Class: LNSP4","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","LNSP",0.833333333333333,0.461538461538462,0.588235294117647,0.75,0.588235294117647,0.833333333333333,0.689655172413793,0.48,0.4,0.68,0.647435897435897
"Class: Miscarriage4","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","Miscarriage",0.5,0.894736842105263,0.6,0.85,0.6,0.5,0.545454545454545,0.24,0.12,0.2,0.697368421052632
"Class: tEP4","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","tEP",0,0.952380952380952,0,0.833333333333333,0,0,NA,0.16,0,0.04,0.476190476190476
"Class: PUL4","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","PUL",0.666666666666667,1,1,0.956521739130435,1,0.666666666666667,0.8,0.12,0.08,0.08,0.833333333333333
"Class: LNSP5","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","LNSP",1,0.538461538461538,0.666666666666667,1,0.666666666666667,1,0.8,0.48,0.48,0.72,0.769230769230769
"Class: Miscarriage5","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","Miscarriage",0,0.842105263157895,0,0.727272727272727,0,0,NA,0.24,0,0.12,0.421052631578947
"Class: tEP5","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","tEP",0,0.952380952380952,0,0.833333333333333,0,0,NA,0.16,0,0.04,0.476190476190476
"Class: PUL5","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","PUL",0.333333333333333,0.909090909090909,0.333333333333333,0.909090909090909,0.333333333333333,0.333333333333333,0.333333333333333,0.12,0.04,0.12,0.621212121212121
"Class: LNSP6","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","LNSP",0.916666666666667,0.307692307692308,0.55,0.8,0.55,0.916666666666667,0.6875,0.48,0.44,0.8,0.612179487179487
"Class: Miscarriage6","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","Miscarriage",0,0.842105263157895,0,0.727272727272727,0,0,NA,0.24,0,0.12,0.421052631578947
"Class: tEP6","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","tEP",0.25,1,1,0.875,1,0.25,0.4,0.16,0.04,0.04,0.625
"Class: PUL6","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","PUL",0,0.954545454545455,0,0.875,0,0,NA,0.12,0,0.04,0.477272727272727
"Class: LNSP7","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","LNSP",0.833333333333333,0.615384615384615,0.666666666666667,0.8,0.666666666666667,0.833333333333333,0.740740740740741,0.48,0.4,0.6,0.724358974358974
"Class: Miscarriage7","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","Miscarriage",0.166666666666667,0.789473684210526,0.2,0.75,0.2,0.166666666666667,0.181818181818182,0.24,0.04,0.2,0.478070175438596
"Class: tEP7","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","tEP",0.5,0.952380952380952,0.666666666666666,0.909090909090909,0.666666666666667,0.5,0.571428571428572,0.16,0.08,0.12,0.726190476190476
"Class: PUL7","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","PUL",0.333333333333333,0.954545454545455,0.5,0.91304347826087,0.5,0.333333333333333,0.4,0.12,0.04,0.08,0.643939393939394
"Class: LNSP8","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","LNSP",0.833333333333333,0.307692307692308,0.526315789473684,0.666666666666667,0.526315789473684,0.833333333333333,0.645161290322581,0.48,0.4,0.76,0.57051282051282
"Class: Miscarriage8","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","Miscarriage",0.166666666666667,0.947368421052632,0.5,0.782608695652174,0.5,0.166666666666667,0.25,0.24,0.04,0.08,0.557017543859649
"Class: tEP8","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","tEP",0,0.952380952380952,0,0.833333333333333,0,0,NA,0.16,0,0.04,0.476190476190476
"Class: PUL8","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","PUL",0.333333333333333,0.909090909090909,0.333333333333333,0.909090909090909,0.333333333333333,0.333333333333333,0.333333333333333,0.12,0.04,0.12,0.621212121212121
"Class: LNSP9","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","LNSP",0.916666666666667,0.615384615384615,0.6875,0.888888888888889,0.6875,0.916666666666667,0.785714285714286,0.48,0.44,0.64,0.766025641025641
"Class: Miscarriage9","acetate_121 Alanine_128 Arginine_122 Glutamine_115 phenylalanine_11 proline_107 Unknown_27 unknown_30 unknown_31 Unknown_54","Miscarriage",0.333333333333333,0.894736842105263,0.5,0.80952380952381,0.5,0.333333333333333,0.4,0.24,0.08,0.16,0.614035087719298
