"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Metabolite","Comparison"
"HCG",-4.89229776022716,10.6974537241328,-13.3772761833641,3.87418118641524e-31,4.02914843387184e-29,59.9535857073833,"HCG","Other_LNSP"
"Glutamine_115",0.0895962363471163,15.9749561122134,7.56479689279905,7.44007131900758e-13,3.86883708588394e-11,18.249428950955,"Glutamine_115","Other_LNSP"
"Progesterone",-1.39556902819216,4.28489814616491,-5.3354680354919,2.13701739235898e-07,7.4083269601778e-06,5.95674885948878,"Progesterone","Other_LNSP"
"Alanine_128",0.0806022409491263,17.0844686466403,3.93259190905402,0.000108916943365105,0.00283184052749273,-0.0255581076714213,"Alanine_128","Other_LNSP"
"phenylalanine_11",-0.0650195678996237,13.3566521713043,-3.62234901210944,0.000353566824070736,0.00667575476157621,-1.13521993283257,"phenylalanine_11","Other_LNSP"
"unknown_31",-0.0699937549617609,15.0407274819763,-3.59899946624351,0.000385139697783243,0.00667575476157621,-1.21542999831641,"unknown_31","Other_LNSP"
"unknown_88",0.0473752549381921,15.4154290946245,3.50346321411368,0.000544043770596528,0.00808293602029128,-1.53873480136566,"unknown_88","Other_LNSP"
"unknown_30",-0.0965091394218529,14.6240580137549,-3.46596785622165,0.000621786905140303,0.00808322976682394,-1.6634704169289,"unknown_30","Other_LNSP"
"unknown_29",-0.102632844136417,14.9398583263241,-3.32911430053489,0.0010027271775879,0.0104681272314689,-2.10836650565805,"unknown_29","Other_LNSP"
"unknown_102",-0.0514455053898502,13.0921713922925,-3.30908526943113,0.0010740011633281,0.0104681272314689,-2.17210537402188,"unknown_102","Other_LNSP"
"unknown_130",-0.0468546181270124,15.87161479917,-3.30017349657277,0.00110720576486691,0.0104681272314689,-2.20035230164235,"unknown_130","Other_LNSP"
"Arginine_122",0.044080891154934,14.925378165415,3.2075420987468,0.00151361609878222,0.0131180061894459,-2.48981626954541,"Arginine_122","Other_LNSP"
"Unknown_54",-0.0376469322382373,15.8274351639921,-3.11000168018977,0.00208790453005989,0.0163294274526984,-2.78640970744798,"Unknown_54","Other_LNSP"
"glutamate_111",-0.0482617160217451,15.5913760273913,-3.09416963029897,0.00219819215709401,0.0163294274526984,-2.83375195150925,"glutamate_111","Other_LNSP"
"unknown_120",0.0371964625894758,15.5100362763241,2.88228925337501,0.00429162895788482,0.0297552941080014,-3.44569446407407,"unknown_120","Other_LNSP"
"unknown_57",0.0731422004984914,17.4563995243478,2.73435251666836,0.00669785820522393,0.0429374025523547,-3.84887288102144,"unknown_57","Other_LNSP"
"acetate_121",0.0707246740513021,15.8585917506324,2.71844632751919,0.00701861387875029,0.0429374025523547,-3.89103341269716,"acetate_121","Other_LNSP"
